18.05.2007;04.06.2007;24;114,7222042;0;False
25.06.2007;27.06.2007;17;134,003247;2;False
13.08.2008;23.08.2008;13;135,3435208;1;False
01.08.2008;24.08.2008;12;125,6065769;0;False
13.03.2008;16.03.2008;12;159,0825819;3;False
18.06.2008;19.07.2008;7;164,0001097;3;False
18.06.2008;19.07.2008;7;144,5918127;1;False
19.02.2008;29.02.2008;7;142,2310606;1;False
02.11.2007;29.05.2008;6;163,6610979;3;False
14.04.2007;27.09.2007;6;124,0030992;1;False
19.06.2008;19.07.2008;6;134,8876642;1;False
17.09.2007;16.10.2007;6;114,6400329;0;False
16.08.2007;12.09.2007;6;114,3904559;0;False
21.05.2008;29.05.2008;6;173,3451865;4;False
08.02.2008;02.03.2008;5;168,4957524;4;False
08.02.2008;02.03.2008;5;159,0825819;3;False
08.02.2008;02.03.2008;5;140,2562408;2;False
05.12.2007;28.12.2007;5;162,4713313;4;False
08.02.2008;02.03.2008;5;121,4298998;0;False
08.02.2008;02.03.2008;5;140,2562408;2;False
08.02.2008;02.03.2008;5;130,8430703;1;False
08.02.2008;02.03.2008;5;159,0825819;3;False
08.02.2008;02.03.2008;5;130,8430703;1;False
15.05.2007;04.06.2007;5;134,003247;2;False
13.09.2007;03.10.2007;5;133,9072653;1;False
11.04.2008;27.04.2008;5;134,6740728;1;False
27.12.2006;07.01.2007;5;139;2;False
18.01.2007;28.01.2007;5;139;2;False
28.02.2007;08.03.2007;5;138,6001476;2;False
19.10.2007;21.10.2007;5;133,9072653;2;False
06.10.2007;07.10.2007;5;133,9072653;2;False
02.11.2007;31.05.2008;4;144,2929206;2;False
12.11.2007;31.05.2008;4;163,6610979;3;False
23.11.2007;31.05.2008;4;144,2929206;1;False
12.04.2007;17.09.2007;4;162,4536727;4;False
29.12.2007;31.05.2008;4;144,2929206;2;False
10.04.2007;12.06.2007;4;162,9248111;4;False
17.04.2007;07.06.2007;4;162,9248111;4;False
27.08.2007;15.10.2007;4;162,8081139;4;False
